City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
465,cabedelo,-6.98,-34.83,86.0,70,20,6.93,BR,1590518722
466,rawson,-43.3,-65.1,66.7,32,100,7.27,AR,1590518639
467,coolum beach,-26.53,153.1,52.0,92,100,2.77,AU,1590518723
468,sept-iles,50.2,-66.38,68.0,60,75,9.17,CA,1590518723
469,chara,56.91,118.26,51.85,54,3,2.93,RU,1590518724
470,evanston,42.04,-87.69,89.6,46,75,8.05,US,1590518724
471,vila franca do campo,37.72,-25.43,68.0,82,75,11.41,PT,1590518725
472,torbay,47.67,-52.73,61.0,72,90,28.86,CA,1590518726
473,soligalich,59.08,42.29,48.24,88,95,1.66,RU,1590518726
474,noumea,-22.28,166.46,73.99,77,0,3.36,NC,1590518728
475,la ronge,55.1,-105.28,69.8,43,90,13.87,CA,1590518728
476,weiz,47.22,15.62,55.99,62,57,1.99,AT,1590518728
477,riachao,-7.36,-46.62,80.08,81,100,0.58,BR,1590518729
478,liwale,-9.77,37.93,68.47,78,0,2.86,TZ,1590518729
479,zaraza,9.35,-65.32,92.93,47,100,5.57,VE,1590518730
480,gerash,27.67,54.14,89.6,24,0,4.7,IR,1590518502
481,contamana,-7.33,-75.02,90.91,43,28,4.45,PE,1590518731
482,margate,51.38,1.39,70.0,53,100,1.01,GB,1590518731
483,evans,33.53,-82.13,71.01,83,100,1.01,US,1590518617
484,grand gaube,-20.01,57.66,75.0,76,56,5.01,MU,1590518732
485,kargat,55.2,80.28,47.61,77,19,11.34,RU,1590518733
486,shyroke,47.69,33.26,53.6,87,0,4.47,UA,1590518733
487,jaypur,18.85,82.58,84.58,48,58,5.99,IN,1590518734
488,sebring,27.5,-81.44,93.99,70,75,9.17,US,1590518735
489,porto novo,6.5,2.6,84.2,79,20,10.29,BJ,1590518735
490,sorokino,53.75,84.92,54.59,74,58,10.94,RU,1590518735
491,salmas,38.2,44.77,59.29,50,10,2.04,IR,1590518736
492,abu samrah,35.3,37.18,77.86,25,87,8.79,SY,1590518736
493,itaborai,-22.74,-42.86,75.2,46,0,11.41,BR,1590518737
494,yokote,39.3,140.57,56.73,86,100,0.65,JP,1590518737
495,oriximina,-1.77,-55.87,88.59,58,0,5.01,BR,1590518738
496,raudeberg,61.99,5.14,51.01,88,100,19.69,NO,1590518738
497,arnprior,45.43,-76.35,88.0,56,40,1.99,CA,1590518738
498,wakkanai,45.41,141.67,48.88,91,100,7.52,JP,1590518739
499,freeport,40.66,-73.58,75.99,73,1,8.05,US,1590518739
500,cururupu,-1.83,-44.87,84.63,70,5,5.08,BR,1590518740
501,luanda,-8.84,13.23,78.8,78,20,11.41,AO,1590518740
502,ossora,59.24,163.07,34.66,95,100,8.03,RU,1590518740
503,lavrentiya,65.58,-171.0,35.65,87,71,6.13,RU,1590518741
504,tete,-16.16,33.59,78.8,47,0,3.36,MZ,1590518741
505,itoman,26.12,127.67,78.8,94,75,11.41,JP,1590518742
506,mayumba,-3.43,10.66,78.39,87,100,7.81,GA,1590518742
507,virginia beach,36.85,-75.98,68.0,88,90,6.93,US,1590518511
508,laguna,38.42,-121.42,95.0,29,1,3.36,US,1590518743
509,hajnowka,52.74,23.58,55.0,67,58,1.01,PL,1590518743
510,santa cruz del sur,20.71,-78.0,86.77,65,100,9.48,CU,1590518744
511,hobyo,5.35,48.53,82.92,77,0,22.82,SO,1590518744
512,masterton,-40.96,175.66,48.0,85,79,1.5,NZ,1590518745
513,mount vernon,40.91,-73.84,81.0,64,20,6.93,US,1590518745
514,nizhniy kuranakh,58.84,125.49,53.29,51,0,5.08,RU,1590518745
515,zhicheng,30.3,111.5,73.0,85,75,4.25,CN,1590518746
516,pomabamba,-8.83,-77.47,60.35,46,69,7.43,PE,1590518747
517,whitehorse,60.72,-135.05,52.0,31,75,3.36,CA,1590518747
518,poso,-1.4,120.75,79.9,75,86,4.09,ID,1590518748
519,dekar,-21.53,21.93,53.06,47,0,12.97,BW,1590518748
520,malanville,11.87,3.39,93.83,38,32,4.34,BJ,1590518749
521,rudnogorsk,57.26,103.75,49.66,89,100,0.98,RU,1590518749
522,urucara,-2.54,-57.76,86.9,67,22,2.44,BR,1590518750
523,kampot,10.62,104.18,81.86,79,100,5.01,KH,1590518750
524,rio grande,-32.03,-52.1,64.4,48,40,16.11,BR,1590518718
525,kununurra,-15.77,128.73,66.2,82,40,1.7,AU,1590518751
526,sur,22.57,59.53,89.65,48,0,10.56,OM,1590518594
527,petropavlovsk-kamchatskiy,53.05,158.65,41.0,86,75,4.47,RU,1590518752
528,fukue,32.69,128.84,66.13,73,60,13.96,JP,1590518752
529,san luis,-33.3,-66.34,76.93,19,0,9.55,AR,1590518753
530,henties bay,-22.12,14.28,57.0,81,0,3.0,NA,1590518753
531,nantucket,41.28,-70.1,64.4,88,90,4.7,US,1590518754
532,filadelfia,39.95,-75.16,82.99,57,20,4.7,US,1590518532
533,ixtapa,20.7,-105.2,82.0,65,20,11.41,MX,1590518755
534,opuwo,-18.06,13.84,59.85,40,2,3.27,NA,1590518755
535,tacna,-18.01,-70.25,71.6,60,0,9.17,PE,1590518756
536,sarangani,5.4,125.46,83.82,76,8,7.61,PH,1590518756
537,shalyhyne,51.57,34.12,50.23,94,100,5.3,UA,1590518757
538,gat,31.61,34.76,73.99,60,0,3.36,IL,1590518757
539,langsa,4.47,97.97,76.15,91,100,2.19,ID,1590518757
540,batagay,67.63,134.63,54.52,81,0,5.08,RU,1590518758
541,vilyuysk,63.76,121.62,56.82,52,100,6.11,RU,1590518758
542,krasnyy chikoy,50.36,108.75,48.79,78,100,3.85,RU,1590518759
543,rafaela,-31.25,-61.49,70.0,44,0,7.31,AR,1590518759
544,roma,43.21,-75.46,88.0,48,1,4.7,US,1590518593
545,yerbogachen,61.28,108.01,40.98,68,0,7.07,RU,1590518760
546,dingle,11.0,122.67,78.94,80,0,3.22,PH,1590518760
547,lisala,2.15,21.52,75.45,88,100,1.1,CD,1590518761
548,maragogi,-9.01,-35.22,79.57,87,100,10.56,BR,1590518761
549,saint-augustin,51.23,-58.65,60.13,69,81,16.42,CA,1590518761
550,panama city,8.99,-79.52,89.6,70,40,6.93,PA,1590518677
551,dakar,14.69,-17.44,77.0,78,40,11.41,SN,1590518701
